[array([ 36., 396.]), [53.271372929615865, 11.17588500763019, 57]]
[array([ 37., 395.]), [53.27138034000035, 11.175871531829069, 57]]
[array([ 38., 395.]), [53.27138000978348, 11.175858658998662, 57]]
[array([ 39., 396.]), [53.271371937984036, 11.175846389432566, 57]]
[array([ 40., 397.]), [53.271363865589116, 11.175834118961335, 57]]
[array([ 41., 398.]), [53.27135579259868, 11.175821847584874, 55]]
[array([ 41., 399.]), [53.27134805065054, 11.17582245211881, 55]]
[array([ 40., 399.]), [53.271348382260236, 11.17583532784009, 57]]
[array([ 39., 399.]), [53.27134871384177, 11.175848202467066, 57]]
[array([ 38., 398.]), [53.271356786361885, 11.175860471759737, 57]]
[array([ 37., 397.]), [53.27136485828657, 11.175872740147412, 57]]
[array([ 36., 396.]), [53.271372929615865, 11.17588500763019, 57]]
[[0, 0], [0, 0, 0]]
[array([ 41., 403.]), [53.271317083726956, 11.1758248701867, 55]]
[array([ 42., 402.]), [53.27132449270812, 11.175811389158056, 55]]
[array([ 43., 401.]), [53.271331902402245, 11.175797906832148, 55]]
[array([ 44., 401.]), [53.271331570053526, 11.175785028023082, 55]]
[array([ 45., 402.]), [53.271323494680324, 11.175772753024685, 55]]
[array([ 46., 404.]), [53.2713076755616, 11.175761082110494, 55]]
[array([ 44., 405.]), [53.27130059989904, 11.175787447212365, 55]]
[array([ 43., 405.]), [53.27130093355656, 11.175800325629483, 55]]
[array([ 42., 404.]), [53.27130900893961, 11.175812598360777, 55]]
[array([ 41., 403.]), [53.271317083726956, 11.1758248701867, 55]]
[[0, 0], [0, 0, 0]]
[array([ 54., 403.]), [53.27131275321352, 11.1756573912628, 55]]
[array([ 55., 403.]), [53.27131241989879, 11.175644500599113, 55]]
[array([ 56., 401.]), [53.27132757966406, 11.17563039687687, 55]]
[array([ 55., 401.]), [53.27132791235206, 11.175643288833228, 55]]
[array([ 54., 403.]), [53.27131275321352, 11.1756573912628, 55]]
[[0, 0], [0, 0, 0]]
[array([ 68., 392.]), [53.271393343892534, 11.175470143052873, 55]]
[array([ 69., 392.]), [53.271393013787865, 11.175457235945656, 55]]
[array([ 68., 393.]), [53.27138559257828, 11.17547075027788, 55]]
[array([ 68., 392.]), [53.271393343892534, 11.175470143052873, 55]]
[[0, 0], [0, 0, 0]]
[array([ 87., 310.]), [53.2720234832758, 11.175174750812149, 55]]
[array([ 88., 309.]), [53.27203094472498, 11.175161204952511, 55]]
[array([ 89., 308.]), [53.27203840689397, 11.175147657786134, 55]]
[array([ 94., 304.]), [53.272067960913304, 11.17508051274474, 55]]
[array([ 95., 304.]), [53.27206765903101, 11.175067568336791, 55]]
[array([ 96., 304.]), [53.27206735712298, 11.175054622825433, 55]]
[array([ 97., 306.]), [53.27205151822315, 11.175042897579686, 55]]
[array([ 97., 307.]), [53.272043749871294, 11.175043508253953, 55]]
[array([ 96., 308.]), [53.27203628485823, 11.175057065140676, 55]]
[array([ 95., 309.]), [53.27202882056547, 11.175070620719268, 55]]
[array([ 94., 310.]), [53.27202135699292, 11.175084174989914, 55]]
[array([ 90., 313.]), [53.27199927533773, 11.175137769062593, 55]]
[array([ 89., 312.]), [53.27200734524722, 11.175150097224165, 55]]
[array([ 88., 311.]), [53.27201541455989, 11.175162424473985, 55]]
[array([ 87., 310.]), [53.2720234832758, 11.175174750812149, 55]]
[[0, 0], [0, 0, 0]]
[array([ 96., 405.]), [53.27128321053761, 11.175116257636178, 55]]
[array([ 97., 404.]), [53.271290635160696, 11.175102711001587, 55]]
[array([ 98., 404.]), [53.271290300295014, 11.175089773167139, 55]]
[array([ 99., 405.]), [53.271282204954524, 11.175077444429009, 55]]
[array([100., 406.]), [53.271274109015316, 11.1750651147791, 55]]
[array([ 99., 406.]), [53.27127444459554, 11.175078054620826, 55]]
[array([ 98., 406.]), [53.271274780147166, 11.175090993360072, 55]]
[array([ 97., 406.]), [53.27127511567021, 11.17510393099698, 55]]
[array([ 96., 405.]), [53.27128321053761, 11.175116257636178, 55]]
[[0, 0], [0, 0, 0]]
[array([103., 402.]), [53.27130414932351, 11.175023846247997, 55]]
[array([108., 401.]), [53.27131024081067, 11.174958500862632, 54]]
[array([108., 402.]), [53.27130247714253, 11.17495911197168, 54]]
[array([108., 403.]), [53.271294713561765, 11.174959723073847, 54]]
[array([107., 404.]), [53.27128728521955, 11.17497328303361, 54]]
[array([106., 405.]), [53.271279857594074, 11.17498684168504, 54]]
[array([105., 406.]), [53.27127243068521, 11.175000399028324, 55]]
[array([104., 406.]), [53.271272766408444, 11.175013344384567, 55]]
[array([103., 406.]), [53.271273102103066, 11.175026288637627, 55]]
[array([103., 405.]), [53.27128086377716, 11.175025678050527, 55]]
[array([103., 404.]), [53.27128862553858, 11.175025067456556, 55]]
[array([103., 403.]), [53.27129638738737, 11.175024456855715, 55]]
[array([103., 402.]), [53.27130414932351, 11.175023846247997, 55]]
[[0, 0], [0, 0, 0]]
[array([  0., 275.]), [53.2723583644731, 11.17779146521405, 54]]
[array([  7., 277.]), [53.27234116770993, 11.177702118239841, 54]]
[array([ 13., 275.]), [53.27235527133666, 11.177623800407588, 54]]
[array([ 15., 274.]), [53.27236256267781, 11.177597535140709, 54]]
[array([ 16., 274.]), [53.272362324825856, 11.177584632185413, 54]]
[array([ 24., 279.]), [53.272321577572114, 11.177483698160533, 54]]
[array([ 25., 279.]), [53.27232133869679, 11.177470790180251, 54]]
[array([ 26., 279.]), [53.27232109981002, 11.177457881582054, 54]]
[array([ 27., 279.]), [53.272320860911826, 11.177444972365905, 54]]
[array([ 28., 279.]), [53.27232062200219, 11.177432062531757, 54]]
[array([ 28., 280.]), [53.272312852806, 11.17743252530958, 54]]
[array([ 28., 281.]), [53.272305083725215, 11.177432988080529, 54]]
[array([ 27., 285.]), [53.27227424857069, 11.177447748288051, 54]]
[array([ 26., 285.]), [53.27227448857386, 11.177460656862566, 54]]
[array([ 22., 285.]), [53.2722754484717, 11.177512284982111, 54]]
[array([ 21., 285.]), [53.272275688417444, 11.177525190467586, 54]]
[array([ 12., 289.]), [53.27224678587051, 11.177643156112445, 54]]
[array([ 11., 290.]), [53.272239261524206, 11.177656515888541, 54]]
[array([  3., 295.]), [53.272202371637434, 11.17776198397878, 54]]
[array([  2., 296.]), [53.272194850637845, 11.177775336560062, 54]]
[array([  1., 295.]), [53.27220285475946, 11.177787768742673, 54]]
[array([  0., 294.]), [53.272210858617, 11.177800200515108, 54]]
[array([  0., 293.]), [53.27221862104608, 11.177799740823835, 54]]
[array([  0., 292.]), [53.27222638359036, 11.177799281125738, 54]]
[array([  0., 291.]), [53.27223414624984, 11.177798821420819, 54]]
[array([  0., 290.]), [53.27224190902457, 11.177798361709076, 54]]
[array([  0., 289.]), [53.2722496719145, 11.177797901990509, 54]]
[array([  0., 288.]), [53.272257434919666, 11.17779744226512, 54]]
[array([  0., 287.]), [53.272265198040046, 11.177796982532907, 54]]
[array([  0., 286.]), [53.27227296127565, 11.177796522793868, 54]]
[array([  0., 285.]), [53.2722807246265, 11.17779606304801, 54]]
[array([  0., 279.]), [53.27232730715151, 11.177793304429533, 54]]
[array([  0., 278.]), [53.27233507130902, 11.1777928446359, 54]]
[array([  0., 277.]), [53.27234283558179, 11.17779238483544, 54]]
[array([  0., 275.]), [53.2723583644731, 11.17779146521405, 54]]
[[0, 0], [0, 0, 0]]
[array([  0., 309.]), [53.27209443600464, 11.177807095065576, 54]]
[array([  1., 309.]), [53.27209419188739, 11.177794205101817, 54]]
[array([  2., 309.]), [53.27209394775846, 11.177781314521502, 54]]
[array([  2., 310.]), [53.272086186804856, 11.177781774316916, 54]]
[array([  2., 311.]), [53.27207842596642, 11.177782234105507, 54]]
[array([  1., 311.]), [53.27207867046294, 11.177795124472526, 54]]
[array([  0., 311.]), [53.27207891494776, 11.177808014223013, 54]]
[array([  0., 310.]), [53.27208667541863, 11.177807554647705, 54]]
[array([  0., 309.]), [53.27209443600464, 11.177807095065576, 54]]
[[0, 0], [0, 0, 0]]
[array([  4., 329.]), [53.27193825492435, 11.177764730388846, 54]]
[array([  5., 328.]), [53.271945766401764, 11.17775138010612, 54]]
[array([  6., 329.]), [53.27193775923381, 11.177738949178242, 54]]
[array([  6., 330.]), [53.271929999848474, 11.177739409263761, 54]]
[array([  5., 330.]), [53.2719302478834, 11.177752300070683, 54]]
[array([  4., 329.]), [53.27193825492435, 11.177764730388846, 54]]
[[0, 0], [0, 0, 0]]
[array([  9., 263.]), [53.272449426182774, 11.177669870857237, 54]]
[array([ 10., 264.]), [53.27244142269677, 11.17765743139525, 54]]
[array([ 11., 264.]), [53.27244118674268, 11.177644530459023, 54]]
[array([ 12., 264.]), [53.272440950777295, 11.177631628905363, 54]]
[array([ 13., 264.]), [53.27244071480062, 11.177618726734224, 54]]
[array([ 13., 263.]), [53.27244848308034, 11.177618265450093, 54]]
[array([ 11., 262.]), [53.272456722680936, 11.177643608311241, 54]]
[array([ 10., 262.]), [53.27245695826677, 11.1776565094611, 54]]
[array([  9., 263.]), [53.272449426182774, 11.177669870857237, 54]]
[[0, 0], [0, 0, 0]]
[array([ 10., 323.]), [53.27198333085099, 11.17768461614077, 54]]
[array([ 11., 323.]), [53.27198308404321, 11.177671721503595, 54]]
[array([ 12., 323.]), [53.27198283722362, 11.177658826249555, 54]]
