[array([ 24., 484.]), [53.27076889701175, 11.120346427094036, 22]]
[array([ 25., 484.]), [53.27076855796074, 11.120333414640116, 22]]
[array([ 26., 484.]), [53.27076821889254, 11.120320401526108, 22]]
[array([ 27., 484.]), [53.270767879807146, 11.12030738775196, 22]]
[array([ 27., 485.]), [53.27076006981309, 11.12030796478705, 22]]
[array([ 26., 485.]), [53.27076040909645, 11.120320978541407, 22]]
[array([ 25., 485.]), [53.27076074836259, 11.120333991635627, 22]]
[array([ 24., 485.]), [53.27076108761153, 11.120347004069759, 22]]
[array([ 24., 484.]), [53.27076889701175, 11.120346427094036, 22]]
[[0, 0], [0, 0, 0]]
[array([ 24., 133.]), [53.27331258644896, 11.170541407694065, 48]]
[array([ 25., 133.]), [53.27331193392089, 11.170528521201593, 48]]
[array([ 25., 134.]), [53.2733041949298, 11.17052979635369, 48]]
[array([ 24., 134.]), [53.27330484777475, 11.170542682758303, 48]]
[array([ 24., 133.]), [53.27331258644896, 11.170541407694065, 48]]
[[0, 0], [0, 0, 0]]
[array([ 27., 139.]), [53.27326419159116, 11.170510396894645, 48]]
[array([ 28., 139.]), [53.27326353700017, 11.170497507745113, 48]]
[array([ 29., 139.]), [53.27326288235527, 11.170484617533914, 48]]
[array([ 29., 140.]), [53.27325514235131, 11.170485892995561, 48]]
[array([ 28., 140.]), [53.27325579731317, 11.170498783118862, 48]]
[array([ 27., 140.]), [53.27325645222109, 11.170511672180508, 48]]
[array([ 27., 139.]), [53.27326419159116, 11.170510396894645, 48]]
[[0, 0], [0, 0, 0]]
[array([ 31., 140.]), [53.27325383226573, 11.170460109563459, 48]]
[array([ 32., 139.]), [53.273260918097, 11.170445940528994, 48]]
[array([ 34., 140.]), [53.27325186673262, 11.17042142644959, 48]]
[array([ 34., 141.]), [53.27324412518597, 11.17042270234387, 48]]
[array([ 31., 140.]), [53.27325383226573, 11.170460109563459, 48]]
[[0, 0], [0, 0, 0]]
[array([ 41., 141.]), [53.27323953483196, 11.17033240516903, 48]]
[array([ 42., 139.]), [53.27325436706198, 11.170316948116783, 48]]
[array([ 43., 138.]), [53.273261456148155, 11.170302766328149, 48]]
[array([ 45., 137.]), [53.27326789098382, 11.170275675900891, 48]]
